d,a,e
5.109999999999997655e+00,3.500000000000000000e+01,-4.371689193404055374e+01
5.109999999999997655e+00,4.000000000000000000e+01,-4.371689195573275555e+01
5.109999999999997655e+00,4.500000000000000000e+01,-4.371689198442454938e+01
5.109999999999997655e+00,5.000000000000000000e+01,-4.371689201967328842e+01
5.109999999999997655e+00,5.500000000000000000e+01,-4.371689206126679039e+01
5.109999999999997655e+00,6.000000000000000000e+01,-4.371689211159243627e+01
5.109999999999997655e+00,6.500000000000000000e+01,-4.371689218046619629e+01
5.109999999999997655e+00,7.000000000000000000e+01,-4.371689229315311565e+01
5.109999999999997655e+00,7.500000000000000000e+01,-4.371689250082675215e+01
5.109999999999997655e+00,8.000000000000000000e+01,-4.371689288816705243e+01
5.109999999999997655e+00,8.500000000000000000e+01,-4.371689356406906057e+01
5.109999999999997655e+00,9.000000000000000000e+01,-4.371689460968572405e+01
5.109999999999997655e+00,9.500000000000000000e+01,-4.371689595125937444e+01
5.109999999999997655e+00,1.000000000000000000e+02,-4.371689713012681011e+01
5.109999999999997655e+00,1.050000000000000000e+02,-4.371689692346160427e+01
5.109999999999997655e+00,1.100000000000000000e+02,-4.371689256802148549e+01
5.109999999999997655e+00,1.150000000000000000e+02,-4.371687767125715141e+01
5.109999999999997655e+00,1.200000000000000000e+02,-4.371683655650262068e+01
5.109999999999997655e+00,1.250000000000000000e+02,-4.371673085200179543e+01
5.119999999999997442e+00,0.000000000000000000e+00,-4.371689550690967963e+01
5.119999999999997442e+00,5.000000000000000000e+00,-4.371689550658858536e+01
5.119999999999997442e+00,1.000000000000000000e+01,-4.371689550587475992e+01
5.119999999999997442e+00,1.500000000000000000e+01,-4.371689550552284231e+01
5.119999999999997442e+00,2.000000000000000000e+01,-4.371689550669005087e+01
5.119999999999997442e+00,2.500000000000000000e+01,-4.371689551083075287e+01
5.119999999999997442e+00,3.000000000000000000e+01,-4.371689551949022956e+01
5.119999999999997442e+00,3.500000000000000000e+01,-4.371689553403487594e+01
5.119999999999997442e+00,4.000000000000000000e+01,-4.371689555534394600e+01
5.119999999999997442e+00,4.500000000000000000e+01,-4.371689558358640681e+01
5.119999999999997442e+00,5.000000000000000000e+01,-4.371689561828672765e+01
5.119999999999997442e+00,5.500000000000000000e+01,-4.371689565914451236e+01
5.119999999999997442e+00,6.000000000000000000e+01,-4.371689570831090066e+01
5.119999999999997442e+00,6.500000000000000000e+01,-4.371689577509899749e+01
5.119999999999997442e+00,7.000000000000000000e+01,-4.371689588392982984e+01
5.119999999999997442e+00,7.500000000000000000e+01,-4.371689608483428202e+01
5.119999999999997442e+00,8.000000000000000000e+01,-4.371689646144068320e+01
5.119999999999997442e+00,8.500000000000000000e+01,-4.371689712275706086e+01
5.119999999999997442e+00,9.000000000000000000e+01,-4.371689815289936831e+01
5.119999999999997442e+00,9.500000000000000000e+01,-4.371689948580523577e+01
5.119999999999997442e+00,1.000000000000000000e+02,-4.371690067649759470e+01
5.119999999999997442e+00,1.050000000000000000e+02,-4.371690052462987808e+01
5.119999999999997442e+00,1.100000000000000000e+02,-4.371689631288019484e+01
5.119999999999997442e+00,1.150000000000000000e+02,-4.371688176388886404e+01
5.119999999999997442e+00,1.200000000000000000e+02,-4.371684148011680549e+01
5.119999999999997442e+00,1.250000000000000000e+02,-4.371673767037908931e+01
5.129999999999997229e+00,0.000000000000000000e+00,-4.371689902746902590e+01
5.129999999999997229e+00,5.000000000000000000e+00,-4.371689902713218601e+01
5.129999999999997229e+00,1.000000000000000000e+01,-4.371689902637911018e+01
5.129999999999997229e+00,1.500000000000000000e+01,-4.371689902595137767e+01
5.129999999999997229e+00,2.000000000000000000e+01,-4.371689902699734631e+01
5.129999999999997229e+00,2.500000000000000000e+01,-4.371689903096471141e+01
5.129999999999997229e+00,3.000000000000000000e+01,-4.371689903938415966e+01
5.129999999999997229e+00,3.500000000000000000e+01,-4.371689905362263318e+01
5.129999999999997229e+00,4.000000000000000000e+01,-4.371689907455667168e+01
5.129999999999997229e+00,4.500000000000000000e+01,-4.371689910236058552e+01
